,Timestamp,BTC-USD-Daily
656,1424774660000.0,236.6
657,1424861061000.0,235.821
658,1424947460000.0,236.16
659,1425033859000.0,251.802
660,1425127459000.0,252.86
661,1425213860000.0,246.098
662,1425300260000.0,258.834
663,1425386660000.0,270.295
664,1425493759000.0,282.029
665,1425580460000.0,267.155
666,1425666859000.0,271.081
667,1425753560000.0,276.149
668,1425839961000.0,274.759
669,1425926959000.0,286.625
670,1426013659000.0,295.158
671,1426100059000.0,296.145
672,1426186460000.0,296.532
673,1426273160000.0,287.691
674,1426359860000.0,282.985
675,1426446261000.0,284.199
676,1426532662000.0,291.018
677,1426619062000.0,287.963
678,1426705462000.0,266.851
679,1426792161000.0,259.816
680,1426878861000.0,260.658
681,1426965561000.0,260.475
682,1427051961000.0,262.736
683,1427138362000.0,263.101
684,1427224762000.0,246.765
685,1427311162000.0,245.087
686,1427397559000.0,253.246
687,1427483961000.0,248.411
688,1427570361000.0,251.687
689,1427658261000.0,244.8
690,1427750959000.0,247.838
691,1427838862000.0,245.58
692,1427939961000.0,247.918
693,1428026361000.0,253.183
694,1428113361000.0,255.069
695,1428199761000.0,253.204
696,1428286461000.0,261.58
697,1428372861000.0,252.688
698,1428459262000.0,253.043
699,1428546861000.0,244.848
700,1428633261000.0,242.767
701,1428719661000.0,236.266
702,1428806061000.0,237.318
703,1428892462000.0,235.823
704,1428978862000.0,224.205
705,1429070961000.0,222.072
706,1429157662000.0,225.966
707,1429244362000.0,228.548
708,1429331063000.0,223.356
709,1429418362000.0,223.678
710,1429507163000.0,223.602
711,1429593862000.0,225.39
712,1429680863000.0,234.599
713,1429767262000.0,233.853
714,1429854263000.0,231.789
715,1429944262000.0,229.881
716,1430053163000.0,218.727
717,1430139563000.0,220.454
718,1430226262000.0,224.947
719,1430313561000.0,224.665
720,1430403860000.0,234.167
721,1430490260000.0,235.142
722,1430577559000.0,234.814
723,1430664259000.0,241.893
724,1430750659000.0,241.945
725,1430838558000.0,234.923
726,1430930960000.0,234.966
727,1431017360000.0,232.015
728,1431103760000.0,245.906
729,1431190160000.0,241.203
730,1431276559000.0,240.507
731,1431363260000.0,243.663
732,1431449961000.0,242.089
733,1431536362000.0,242.873
734,1431622760000.0,236.418
735,1431709165000.0,237.498
736,1431795560000.0,237.384
737,1431881960000.0,237.378
738,1431968360000.0,236.758
739,1432055363000.0,233.332
740,1432142059000.0,234.654
741,1432228461000.0,236.186
742,1432314861000.0,236.846
743,1432401260000.0,240.201
744,1432487660000.0,241.613
745,1432575261000.0,237.313
746,1432663161000.0,237.484
747,1432750160000.0,236.773
748,1432846460000.0,237.406
749,1432932861000.0,237.094
750,1433020161000.0,232.603
751,1433106561000.0,231.895
752,1433193860000.0,222.597
753,1433284160000.0,225.695
754,1433370561000.0,226.092
755,1433456960000.0,224.567
756,1433543361000.0,225.226
757,1433633360000.0,225.026
758,1433719760000.0,223.469
759,1433806161000.0,228.462
760,1433892559000.0,229.277
761,1433978960000.0,228.785
762,1434065360000.0,229.669
763,1434151766000.0,230.259
764,1434241761000.0,232.483
765,1434328163000.0,233.493
766,1434414561000.0,236.594
767,1434500960000.0,252.393
768,1434587359000.0,248.938
769,1434673760000.0,249.827
770,1434760159000.0,243.995
771,1434846560000.0,244.765
772,1434933260000.0,243.891
773,1435019661000.0,246.698
774,1435106060000.0,244.157
775,1435192460000.0,240.823
776,1435278860000.0,242.676
777,1435365261000.0,243.489
778,1435451660000.0,250.655
779,1435538061000.0,248.758
780,1435624460000.0,256.939
781,1435710867000.0,264.057
782,1435797261000.0,259.09
783,1435883660000.0,255.811
784,1435970062000.0,256.656
785,1436056462000.0,260.837
786,1436142861000.0,270.949
787,1436229261000.0,269.478
788,1436315660000.0,266.341
789,1436402059000.0,267.704
790,1436488460000.0,269.191
791,1436574860000.0,286.052
792,1436661259000.0,293.114
793,1436747659000.0,309.859
794,1436834064000.0,291.531
795,1436920796000.0,290.508
796,1437007161000.0,291.183
797,1437093559000.0,278.093
798,1437179961000.0,279.505
799,1437266660000.0,274.517
800,1437353361000.0,273.602
801,1437439762000.0,279.366
802,1437526761000.0,276.139
803,1437613161000.0,277.419
804,1437699561000.0,275.741
805,1437785960000.0,287.267
806,1437872361000.0,288.697
807,1437958761000.0,292.164
808,1438045162000.0,294.907
809,1438131562000.0,293.802
810,1438217961000.0,288.471
811,1438304362000.0,287.823
812,1438390762000.0,284.676
813,1438477462000.0,279.73
814,1438563861000.0,282.168
815,1438650266000.0,282.135
816,1438737261000.0,284.734
817,1438823661000.0,281.459
818,1438910062000.0,278.809
819,1438996461000.0,279.598
820,1439082862000.0,261.801
821,1439169262000.0,265.991
822,1439255661000.0,264.522
823,1439342961000.0,268.243
824,1439429361000.0,265.805
825,1439515761000.0,263.99
826,1439602163000.0,266.174
827,1439688560000.0,261.6
828,1439774961000.0,258.241
829,1439861360000.0,257.909
830,1439947762000.0,231.601
831,1440035061000.0,229.296
832,1440121462000.0,233.494
833,1440207861000.0,233.695
834,1440294561000.0,230.173
835,1440380961000.0,226.995
836,1440467661000.0,203.863
837,1440554060000.0,224.639
838,1440640461000.0,227.369
839,1440726861000.0,221.515
840,1440813261000.0,232.353
841,1440900261000.0,230.462
842,1440986663000.0,227.657
843,1441073060000.0,230.863
844,1441159464000.0,226.675
845,1441245861000.0,229.589
846,1441332261000.0,227.93
847,1441418663000.0,229.577
848,1441505062000.0,236.142
849,1441591462000.0,241.162
850,1441677861000.0,241.852
851,1441764861000.0,243.645
852,1441851561000.0,238.504
853,1441937963000.0,239.653
854,1442024361000.0,239.852
855,1442111362000.0,235.224
856,1442197761000.0,227.961
857,1442284163000.0,231.71
858,1442370561000.0,230.9
859,1442456961000.0,230.049
860,1442638763000.0,232.424
861,1442726063000.0,231.004
862,1442823867000.0,227.719
863,1442916862000.0,231.566
864,1443003262000.0,230.202
865,1443089680000.0,231.139
866,1443177562000.0,236.82
867,1443268464000.0,233.933
868,1443355162000.0,233.241
869,1443441562000.0,237.11
870,1443528263000.0,236.259
871,1443614663000.0,236.202
872,1443701062000.0,236.038
873,1443787462000.0,237.17
874,1443874761000.0,237.731
875,1443961162000.0,238.467
876,1444047564000.0,237.909
877,1444134263000.0,240.799
878,1444220662000.0,244.574
879,1444307064000.0,243.066
880,1444393461000.0,243.479
881,1444479862000.0,243.426
882,1444567162000.0,244.646
883,1444653562000.0,246.632
884,1444739962000.0,250.079
885,1444826363000.0,250.13
886,1444913064000.0,254.377
887,1444999485000.0,259.286
888,1445086474000.0,269.651
889,1445172864000.0,265.33
890,1445259263000.0,263.062
891,1445345660000.0,265.758
892,1445432061000.0,264.688
893,1445518460000.0,274.63
894,1445604863000.0,274.985
895,1445691262000.0,277.908
896,1445779161000.0,288.511
897,1445865561000.0,283.626
898,1445951962000.0,292.501
899,1446038360000.0,301.821
900,1446124761000.0,312.264
901,1446211160000.0,319.693
902,1446299661000.0,324.769
903,1446389661000.0,317.023
904,1446476061000.0,334.018
905,1446562459000.0,392.089
906,1446649462000.0,486.534
907,1446735860000.0,393.216
908,1446822259000.0,375.493
909,1446908660000.0,388.144
910,1446997160000.0,385.583
911,1447083565000.0,384.491
912,1447169966000.0,358.042
913,1447256361000.0,312.185
914,1447342766000.0,329.99
915,1447429167000.0,330.588
916,1447517660000.0,332.634
917,1447604062000.0,320.758
918,1447690462000.0,320.706
919,1447776860000.0,334.246
920,1447863269000.0,333.518
921,1447949661000.0,326.287
922,1448036061000.0,321.711
923,1448125785000.0,325.69
924,1448212160000.0,322.651
925,1448298565000.0,323.655
926,1448385260000.0,321.585
927,1448471660000.0,325.344
928,1448558061000.0,346.825
929,1448660659000.0,359.416
930,1448747062000.0,355.642
931,1448833462000.0,364.834
932,1448919860000.0,377.034
933,1449006263000.0,361.484
934,1449092673000.0,359.777
935,1449179060000.0,360.712
936,1449265460000.0,361.606
937,1449351864000.0,378.439
938,1449438260000.0,395.493
939,1449524660000.0,394.615
940,1449611064000.0,395.698
941,1449697463000.0,414.863
942,1449783862000.0,416.948
943,1449870261000.0,449.438
944,1449956663000.0,425.814
945,1450043063000.0,435.797
946,1450129464000.0,443.909
947,1450216162000.0,461.439
948,1450303163000.0,457.011
949,1450389560000.0,455.067
950,1450476862000.0,462.867
951,1450563862000.0,462.06
